segment,mode,decoded_start_index,decoded_end_index,SUB_range,MAIN_range,decoded_length,pair_count_excluding_0F,translation
01,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,0,26,0x4B6A~0x4B84,0x0C6A~0x0C84,27,13,로그레스가␠말했다・・・。␃
02,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,27,67,0x4B85~0x4BAD,0x0C85~0x0CAD,41,20,인간␠세상이␠존재하는␠한、“베칸타”의␃
03,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,68,100,0x4BAE~0x4BCE,0x0CAE~0x0CCE,33,16,“힘”은␠사라지지␠않는다라고。␃
04,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,101,127,0x4BCF~0x4BE9,0x0CCF~0x0CE9,27,13,하지만␠유코는␠생각했다。␃
05,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,128,158,0x4BEA~0x4C08,0x0CEA~0x0D08,31,15,그렇다면“바리스”의“힘”또한␃
06,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,159,187,0x4C09~0x4C25,0x0D09~0x0D25,29,14,인간␠세상이␠존재하는␠한、␃
07,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,188,222,0x4C26~0x4C48,0x0D26~0x0D48,35,17,결코␠사라지지␠않을␠거라고・・・␃
08,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,223,303,0x4C49~0x4C99,0x0D49~0x0D99,81,40,“베니티”와“베칸티”의␠다툼은␠인간의␠역사가␠태동했을␠때부터␠시작되었다。␃
09,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,304,338,0x4C9A~0x4CBC,0x0D9A~0x0DBC,35,17,그리고␠인간의␠역사가␠끝날␠때。␃
10,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,339,371,0x4CBD~0x4CDD,0x0DBD~0x0DDD,33,16,인간의␠역사가␠과거가␠될␠때。␃
11,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,372,408,0x4CDE~0x4D02,0x0DDE~0x0E02,37,18,그␠결의를␠보게␠될␠것이다・・・。␃
12,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,409,809,0x4D03~0x4E93,0x0E03~0x0F93,401,200,␠␠␠␠␠␠■␠제작진␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠기획␠␠␠␠␠WOLF␠TEAM␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠원작␠␠␠␠␠하야시␠␠히로키␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠시나리오␠␠␠하야시␠␠히로키␠␠␠␠␠␠␠␠␠␠␠␠미츠하시␠유키오␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠시나리오협력␠아키시노␠마사히로␠␠␠␃
13,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,810,1170,0x4E94~0x4FFC,0x0F94~0x10FC,361,180,␠␠␠␠␠■␠프로그래머␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠메인␠␠␠␠␠아키시노␠마사히로␠␠␠␠서브␠␠␠␠␠하나와␠␠카츠␠␠␠␠␠␠협력␠␠␠␠␠야마모토␠키타야마␠␠␠␠␠␠␠␠␠␠␠아나자와␠토모키␠␠␠␠␠␠␠␠␠␠␠␠사토␠␠␠오사무␠␠␠␠␠␠␠␠␠␠␠␠이즈카␠␠신야␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␃
14,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,1171,1571,0x4FFD~0x518D,0x10FD~0x128D,401,200,␠␠␠␠■␠␠␠음악␠␠␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠감독␠␠␠␠␠오가와␠␠시노부␠␠␠␠␠작곡・편곡␠␠오가와␠␠시노부␠␠␠␠␠시스템설계␠␠사토␠␠␠오사무␠␠␠␠␠제작␠␠␠␠␠아키시노␠마사히로␠␠␠␠␠␠␠␠␠␠␠야마모토␠키타야마␠␠␠␠␠␠␠␠␠␠␠아나자와␠토모키␠␠␠␠␠효과␠␠␠␠␠아키시노␠마사히로␠␠␠␠␠␠␠␠␠␠␠야마모토␠키타야마␠␠␠␃
15,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,1572,1892,0x518E~0x52CE,0x128E~0x13CE,321,160,␠␠␠␠■␠␠BGM␠␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠FLASH␠OF␠SWORD␠␠␠␠␠␠LONEL␠YSOLDIE␠␠␠␠␠␠␠RDEATHS␠WHISPER␠␠␠␠␠THE␠WILDERNESS␠␠␠␠␠␠DARK␠FOREST␠␠␠␠␠␠␠␠␠CELLULAR␠TISSUE␠␠␠␃
16,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,1893,2173,0x52CF~0x53E7,0x13CF~0x14E7,281,140,␠␠DEATH␠ZONE␠␠␠␠␠␠␠␠␠␠OGRE␠BATTLE␠␠␠␠␠␠␠␠␠SOLDIER␠IS␠BORN␠␠␠␠␠ENTER␠LOGLESS␠␠␠␠␠␠␠SADNESS...REIKO␠␠␠␠␠REQUIEM␠␠␠␠␠␠␠␠␠␠␠␠␠Miss␠BLUE에게␠미소를␠␠␠␃
17,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,2174,2494,0x53E8~0x5528,0x14E8~0x1628,321,160,␠␠␠␠␠■␠그래픽␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠감독␠␠␠␠␠하야시␠␠히로키␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠디자인␠␠␠␠하야시␠␠히로키␠␠␠␠␠␠␠␠␠␠␠␠다나카␠␠츠요시␠␠␠␠␠␠␠␠␠␠␠␠토리우미␠히로시␠␠␠␠␠␠␠␠␠␠␠␠이소다␠␠코우지␠␠␠␠␃
18,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,2495,2613,0x5529~0x559F,0x1629~0x169F,119,59,␠특수효과␠␠하나와␠␠카츠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠타이틀␠␠␠하야시␠␠히로키␠␠␠␠␃
19,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,2614,2934,0x55A0~0x56E0,0x16A0~0x17E0,321,160,␠␠␠␠■␠협력␠스태프␠■␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠␠디자인웍스␠␠타카하시␠미츠루␠␠␠␠␠␠␠␠␠␠␠␠다카하시␠마코토␠␠␠␠␠␠␠␠␠␠␠␠키야스␠␠다이스케␠␠␠␠␠␠␠␠␠␠␠곤노␠␠␠헤이이치␠␠␠␠␠␠␠␠␠␠␠다나카␠␠츠요시␠␠␠␠␠␠␠␠␠␠␠␠토리우미␠히로시␠␠␠␠␃
20,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,2935,3135,0x56E1~0x57A9,0x17E1~0x18A9,201,100,␠웍스␠␠␠␠␠요시미네␠토요히코␠␠␠␠␠␠␠␠␠␠␠기쿠치␠␠에이지␠␠␠␠␠␠␠␠␠␠␠␠미나미야␠타케히로␠␠␠␠␠␠␠␠␠␠␠호사카␠␠토오루␠␠␠␠␠␠␠␠␠␠␠␠이소다␠␠코우지␠␠␠␠␃
21,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,3136,3496,0x57AA~0x5912,0x18AA~0x1A12,361,180,␠제작협력␠␠␠후쿠시마␠지로␠␠␠␠␠␠␠␠␠␠␠␠␠후쿠시마␠카즈유키␠␠␠␠␠␠␠␠␠␠␠후쿠시마␠유지␠␠␠␠␠␠␠␠␠␠␠␠␠이토␠␠␠지로␠␠␠␠␠␠␠␠␠␠␠␠␠다테␠␠␠나오히코␠␠␠␠␠␠␠␠␠␠␠후쿠시마␠타카시␠␠␠␠␠␠␠␠␠␠␠␠카자와␠␠토모코␠␠␠␠␠␠␠␠␠␠␠␠에치고␠␠타마호␠␠␠␠␠␠␠␠␠␠␠␠와타나베␠나오미␠␠␠␠␃
22,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,3497,3525,0x5913~0x592F,0x1A13~0x1A2F,29,14,제작총괄␠␠하야시␠␠히로키␃
23,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,3526,3556,0x5930~0x594E,0x1A30~0x1A4E,31,15,제작␠␠␠␠WOLF␠TEAM␃
24,KOR_FULL_BASECODE_ON_ORIGINAL_471_v5,3557,3621,0x594F~0x598F,0x1A4F~0x1A8F,65,32,제작・배급␠일본␠텔레넷␠␠␠␠␠␠␠␠한글화␠␠␠로솔・자외선␃
