global_index,SUB_addr,MAIN_addr,disk_offset,payload_start,sector_key,sector_local_index,decoded_old,decoded_new,raw_old,raw_new
0,0x4B6A,0x0C6A,0x05A25,0x05990,0x3B,0x36A,10,D0,42,02
1,0x4B6B,0x0C6B,0x05A24,0x05990,0x3B,0x36B,12,31,45,64
2,0x4B6C,0x0C6C,0x05A23,0x05990,0x3B,0x36C,10,50,44,84
3,0x4B6D,0x0C6D,0x05A22,0x05990,0x3B,0x36D,12,21,47,56
4,0x4B6E,0x0C6E,0x05A21,0x05990,0x3B,0x36E,D0,A0,06,D6
5,0x4B6F,0x0C6F,0x05A20,0x05990,0x3B,0x36F,3A,31,71,68
6,0x4B70,0x0C70,0x05A1F,0x05990,0x3B,0x370,00,70,38,A8
7,0x4B71,0x0C71,0x05A1E,0x05990,0x3B,0x371,1B,3F,54,78
8,0x4B72,0x0C72,0x05A1D,0x05990,0x3B,0x372,C0,A0,FA,DA
9,0x4B73,0x0C73,0x05A1C,0x05990,0x3B,0x373,3A,17,75,52
10,0x4B74,0x0C74,0x05A1B,0x05990,0x3B,0x374,90,10,CC,4C
11,0x4B75,0x0C75,0x05A1A,0x05990,0x3B,0x375,1B,12,58,4F
12,0x4B76,0x0C76,0x05A19,0x05990,0x3B,0x376,C0,F0,FE,2E
13,0x4B77,0x0C77,0x05A18,0x05990,0x3B,0x377,18,34,57,73
14,0x4B78,0x0C78,0x05A17,0x05990,0x3B,0x378,00,C0,40,00
15,0x4B79,0x0C79,0x05A16,0x05990,0x3B,0x379,B0,E3,F1,24
16,0x4B7A,0x0C7A,0x05A15,0x05990,0x3B,0x37A,30,C0,72,02
17,0x4B7B,0x0C7B,0x05A14,0x05990,0x3B,0x37B,28,27,6B,6A
19,0x4B7D,0x0C7D,0x05A12,0x05990,0x3B,0x37D,28,12,6D,57
20,0x4B7E,0x0C7E,0x05A11,0x05990,0x3B,0x37E,40,60,86,A6
21,0x4B7F,0x0C7F,0x05A10,0x05990,0x3B,0x37F,18,12,5F,59
22,0x4B80,0x0C80,0x05A0F,0x05990,0x3B,0x380,F0,60,38,A8
23,0x4B81,0x0C81,0x05A0E,0x05990,0x3B,0x381,19,12,62,5B
24,0x4B82,0x0C82,0x05A0D,0x05990,0x3B,0x382,50,30,9A,7A
26,0x4B84,0x0C84,0x05A0B,0x05990,0x3B,0x384,50,0F,9C,5B
27,0x4B85,0x0C85,0x05A0A,0x05990,0x3B,0x385,12,A0,5F,ED
28,0x4B86,0x0C86,0x05A09,0x05990,0x3B,0x386,50,DE,9E,2C
29,0x4B87,0x0C87,0x05A08,0x05990,0x3B,0x387,12,C0,61,0F
30,0x4B88,0x0C88,0x05A07,0x05990,0x3B,0x388,50,17,A0,67
31,0x4B89,0x0C89,0x05A06,0x05990,0x3B,0x389,12,10,63,61
32,0x4B8A,0x0C8A,0x05A05,0x05990,0x3B,0x38A,30,12,82,64
33,0x4B8B,0x0C8B,0x05A04,0x05990,0x3B,0x38B,12,A0,65,F3
34,0x4B8C,0x0C8C,0x05A03,0x05990,0x3B,0x38C,10,3D,64,91
35,0x4B8D,0x0C8D,0x05A02,0x05990,0x3B,0x38D,12,20,67,75
36,0x4B8E,0x0C8E,0x05A01,0x05990,0x3B,0x38E,10,3D,66,93
37,0x4B8F,0x0C8F,0x05A00,0x05990,0x3B,0x38F,12,90,69,E7
38,0x4B90,0x0C90,0x059FF,0x05990,0x3B,0x390,10,DE,68,36
39,0x4B91,0x0C91,0x059FE,0x05990,0x3B,0x391,12,10,6B,69
40,0x4B92,0x0C92,0x059FD,0x05990,0x3B,0x392,0F,12,69,6C
41,0x4B93,0x0C93,0x059FC,0x05990,0x3B,0x393,10,F0,6B,4B
42,0x4B94,0x0C94,0x059FB,0x05990,0x3B,0x394,12,EF,6E,4B
43,0x4B95,0x0C95,0x059FA,0x05990,0x3B,0x395,D0,70,2D,CD
44,0x4B96,0x0C96,0x059F9,0x05990,0x3B,0x396,BE,DF,1C,3D
45,0x4B97,0x0C97,0x059F8,0x05990,0x3B,0x397,E0,50,3F,AF
46,0x4B98,0x0C98,0x059F7,0x05990,0x3B,0x398,28,E3,88,43
47,0x4B99,0x0C99,0x059F6,0x05990,0x3B,0x399,40,E0,A1,41
48,0x4B9A,0x0C9A,0x059F5,0x05990,0x3B,0x39A,40,25,A2,87
49,0x4B9B,0x0C9B,0x059F4,0x05990,0x3B,0x39B,C0,10,23,73
50,0x4B9C,0x0C9C,0x059F3,0x05990,0x3B,0x39C,18,12,7C,76
51,0x4B9D,0x0C9D,0x059F2,0x05990,0x3B,0x39D,20,70,85,D5
52,0x4B9E,0x0C9E,0x059F1,0x05990,0x3B,0x39E,18,E3,7E,49
53,0x4B9F,0x0C9F,0x059F0,0x05990,0x3B,0x39F,B0,20,17,87
54,0x4BA0,0x0CA0,0x059EF,0x05990,0x3B,0x3A0,38,12,A0,7A
55,0x4BA1,0x0CA1,0x059EE,0x05990,0x3B,0x3A1,20,80,89,E9
56,0x4BA2,0x0CA2,0x059ED,0x05990,0x3B,0x3A2,B0,22,1A,8C
57,0x4BA3,0x0CA3,0x059EC,0x05990,0x3B,0x3A3,A0,90,0B,FB
58,0x4BA4,0x0CA4,0x059EB,0x05990,0x3B,0x3A4,38,3B,A4,A7
59,0x4BA5,0x0CA5,0x059EA,0x05990,0x3B,0x3A5,20,D0,8D,3D
60,0x4BA6,0x0CA6,0x059E9,0x05990,0x3B,0x3A6,12,E1,80,4F
61,0x4BA7,0x0CA7,0x059E8,0x05990,0x3B,0x3A7,D0,20,3F,8F
62,0x4BA8,0x0CA8,0x059E7,0x05990,0x3B,0x3A8,32,E2,A2,52
63,0x4BA9,0x0CA9,0x059E6,0x05990,0x3B,0x3A9,40,90,B1,01
64,0x4BAA,0x0CAA,0x059E5,0x05990,0x3B,0x3AA,3B,22,AD,94
65,0x4BAB,0x0CAB,0x059E4,0x05990,0x3B,0x3AB,70,80,E3,F3
66,0x4BAC,0x0CAC,0x059E3,0x05990,0x3B,0x3AC,1A,DE,8E,52
67,0x4BAD,0x0CAD,0x059E2,0x05990,0x3B,0x3AD,B0,0F,25,84
68,0x4BAE,0x0CAE,0x059E1,0x05990,0x3B,0x3AE,1A,80,90,F6
69,0x4BAF,0x0CAF,0x059E0,0x05990,0x3B,0x3AF,30,22,A7,99
70,0x4BB0,0x0CB0,0x059DF,0x05990,0x3B,0x3B0,3B,70,B3,E8
71,0x4BB1,0x0CB1,0x059DE,0x05990,0x3B,0x3B1,F0,E5,69,5E
72,0x4BB2,0x0CB2,0x059DD,0x05990,0x3B,0x3B2,1B,90,95,0A
73,0x4BB3,0x0CB3,0x059DC,0x05990,0x3B,0x3B3,D0,22,4B,9D
74,0x4BB4,0x0CB4,0x059DB,0x05990,0x3B,0x3B4,32,40,AE,BC
75,0x4BB5,0x0CB5,0x059DA,0x05990,0x3B,0x3B5,E0,DE,5D,5B
76,0x4BB6,0x0CB6,0x059D9,0x05990,0x3B,0x3B6,28,10,A6,8E
77,0x4BB7,0x0CB7,0x059D8,0x05990,0x3B,0x3B7,10,12,8F,91
78,0x4BB8,0x0CB8,0x059D7,0x05990,0x3B,0x3B8,12,E0,92,60
79,0x4BB9,0x0CB9,0x059D6,0x05990,0x3B,0x3B9,0F,3C,90,BD
80,0x4BBA,0x0CBA,0x059D5,0x05990,0x3B,0x3BA,10,F0,92,72
81,0x4BBB,0x0CBB,0x059D4,0x05990,0x3B,0x3BB,12,30,95,B3
83,0x4BBD,0x0CBD,0x059D2,0x05990,0x3B,0x3BD,12,E0,97,65
84,0x4BBE,0x0CBE,0x059D1,0x05990,0x3B,0x3BE,D0,10,56,96
85,0x4BBF,0x0CBF,0x059D0,0x05990,0x3B,0x3BF,32,E0,B9,67
86,0x4BC0,0x0CC0,0x059CF,0x05990,0x3B,0x3C0,F0,10,78,98
87,0x4BC1,0x0CC1,0x059CE,0x05990,0x3B,0x3C1,9C,12,25,9B
88,0x4BC2,0x0CC2,0x059CD,0x05990,0x3B,0x3C2,D0,00,5A,8A
89,0x4BC3,0x0CC3,0x059CC,0x05990,0x3B,0x3C3,32,5E,BD,E9
90,0x4BC4,0x0CC4,0x059CB,0x05990,0x3B,0x3C4,F0,E0,7C,6C
91,0x4BC5,0x0CC5,0x059CA,0x05990,0x3B,0x3C5,28,25,B5,B2
92,0x4BC6,0x0CC6,0x059C9,0x05990,0x3B,0x3C6,20,C0,AE,4E
93,0x4BC7,0x0CC7,0x059C8,0x05990,0x3B,0x3C7,12,27,A1,B6
94,0x4BC8,0x0CC8,0x059C7,0x05990,0x3B,0x3C8,70,F0,00,80
95,0x4BC9,0x0CC9,0x059C6,0x05990,0x3B,0x3C9,98,30,29,C1
96,0x4BCA,0x0CCA,0x059C5,0x05990,0x3B,0x3CA,40,80,D2,12
97,0x4BCB,0x0CCB,0x059C4,0x05990,0x3B,0x3CB,57,20,EA,B3
98,0x4BCC,0x0CCC,0x059C3,0x05990,0x3B,0x3CC,90,30,24,C4
99,0x4BCD,0x0CCD,0x059C2,0x05990,0x3B,0x3CD,19,12,AE,A7
100,0x4BCE,0x0CCE,0x059C1,0x05990,0x3B,0x3CE,B0,0F,46,A5
101,0x4BCF,0x0CCF,0x059C0,0x05990,0x3B,0x3CF,38,50,CF,E7
102,0x4BD0,0x0CD0,0x059BF,0x05990,0x3B,0x3D0,60,E3,F8,7B
103,0x4BD1,0x0CD1,0x059BE,0x05990,0x3B,0x3D1,F7,10,90,A9
104,0x4BD2,0x0CD2,0x059BD,0x05990,0x3B,0x3D2,F0,E0,8A,7A
105,0x4BD3,0x0CD3,0x059BC,0x05990,0x3B,0x3D3,28,D0,C3,6B
106,0x4BD4,0x0CD4,0x059BB,0x05990,0x3B,0x3D4,A0,34,3C,D0
107,0x4BD5,0x0CD5,0x059BA,0x05990,0x3B,0x3D5,28,10,C5,AD
108,0x4BD6,0x0CD6,0x059B9,0x05990,0x3B,0x3D6,40,12,DE,B0
109,0x4BD7,0x0CD7,0x059B8,0x05990,0x3B,0x3D7,18,20,B7,BF
110,0x4BD8,0x0CD8,0x059B7,0x05990,0x3B,0x3D8,30,DE,D0,7E
111,0x4BD9,0x0CD9,0x059B6,0x05990,0x3B,0x3D9,12,10,B3,B1
112,0x4BDA,0x0CDA,0x059B5,0x05990,0x3B,0x3DA,80,E2,22,84
113,0x4BDB,0x0CDB,0x059B4,0x05990,0x3B,0x3DB,28,E0,CB,83
114,0x4BDC,0x0CDC,0x059B3,0x05990,0x3B,0x3DC,20,25,C4,C9
115,0x4BDD,0x0CDD,0x059B2,0x05990,0x3B,0x3DD,12,10,B7,B5
116,0x4BDE,0x0CDE,0x059B1,0x05990,0x3B,0x3DE,10,12,B6,B8
117,0x4BDF,0x0CDF,0x059B0,0x05990,0x3B,0x3DF,12,40,B9,E7
118,0x4BE0,0x0CE0,0x059AF,0x05990,0x3B,0x3E0,10,3D,B8,E5
119,0x4BE1,0x0CE1,0x059AE,0x05990,0x3B,0x3E1,12,B0,BB,59
120,0x4BE2,0x0CE2,0x059AD,0x05990,0x3B,0x3E2,0F,17,B9,C1
121,0x4BE3,0x0CE3,0x059AC,0x05990,0x3B,0x3E3,10,C0,BB,6B
122,0x4BE4,0x0CE4,0x059AB,0x05990,0x3B,0x3E4,12,E3,BE,8F
123,0x4BE5,0x0CE5,0x059AA,0x05990,0x3B,0x3E5,10,C0,BD,6D
124,0x4BE6,0x0CE6,0x059A9,0x05990,0x3B,0x3E6,12,27,C0,D5
125,0x4BE7,0x0CE7,0x059A8,0x05990,0x3B,0x3E7,10,30,BF,DF
127,0x4BE9,0x0CE9,0x059A6,0x05990,0x3B,0x3E9,10,0F,C1,C0
128,0x4BEA,0x0CEA,0x059A5,0x05990,0x3B,0x3EA,12,50,C4,02
129,0x4BEB,0x0CEB,0x059A4,0x05990,0x3B,0x3EB,10,21,C3,D4
130,0x4BEC,0x0CEC,0x059A3,0x05990,0x3B,0x3EC,12,90,C6,44
131,0x4BED,0x0CED,0x059A2,0x05990,0x3B,0x3ED,70,31,25,E6
132,0x4BEE,0x0CEE,0x059A1,0x05990,0x3B,0x3EE,19,C0,CF,76
133,0x4BEF,0x0CEF,0x059A0,0x05990,0x3B,0x3EF,B0,27,67,DE
134,0x4BF0,0x0CF0,0x0599F,0x05990,0x3B,0x3F0,18,70,D0,28
135,0x4BF1,0x0CF1,0x0599E,0x05990,0x3B,0x3F1,70,35,29,EE
136,0x4BF2,0x0CF2,0x0599D,0x05990,0x3B,0x3F2,19,80,D3,3A
137,0x4BF3,0x0CF3,0x0599C,0x05990,0x3B,0x3F3,20,22,DB,DD
138,0x4BF4,0x0CF4,0x0599B,0x05990,0x3B,0x3F4,12,80,CE,3C
139,0x4BF5,0x0CF5,0x0599A,0x05990,0x3B,0x3F5,50,39,0D,F6
140,0x4BF6,0x0CF6,0x05999,0x05990,0x3B,0x3F6,5A,70,18,2E
141,0x4BF7,0x0CF7,0x05998,0x05990,0x3B,0x3F7,20,34,DF,F3
142,0x4BF8,0x0CF8,0x05997,0x05990,0x3B,0x3F8,B7,70,77,30
143,0x4BF9,0x0CF9,0x05996,0x05990,0x3B,0x3F9,F0,3F,B1,00
144,0x4BFA,0x0CFA,0x05995,0x05990,0x3B,0x3FA,28,90,EA,52
145,0x4BFB,0x0CFB,0x05994,0x05990,0x3B,0x3FB,70,22,33,E5
