segment,char_index,char,base_code_pair,base_code,type
01,0,로,D0 31,0x31D0,hangul_base_code
01,1,그,50 21,0x2150,hangul_base_code
01,2,레,A0 31,0x31A0,hangul_base_code
01,3,스,70 3F,0x3F70,hangul_base_code
01,4,가,A0 17,0x17A0,hangul_base_code
01,5,␠,10 12,0x1210,punct_space_base_code
01,6,말,F0 34,0x34F0,hangul_base_code
01,7,했,C0 E3,0xE3C0,hangul_base_code
01,8,다,C0 27,0x27C0,hangul_base_code
01,9,・,60 12,0x1260,punct_space_base_code
01,10,・,60 12,0x1260,punct_space_base_code
01,11,・,60 12,0x1260,punct_space_base_code
01,12,。,30 12,0x1230,punct_space_base_code
01,END,␃,0F,0x000F,segment_end
02,0,인,A0 DE,0xDEA0,hangul_base_code
02,1,간,C0 17,0x17C0,hangul_base_code
02,2,␠,10 12,0x1210,punct_space_base_code
02,3,세,A0 3D,0x3DA0,hangul_base_code
02,4,상,20 3D,0x3D20,hangul_base_code
02,5,이,90 DE,0xDE90,hangul_base_code
02,6,␠,10 12,0x1210,punct_space_base_code
02,7,존,F0 EF,0xEFF0,hangul_base_code
02,8,재,70 DF,0xDF70,hangul_base_code
02,9,하,50 E3,0xE350,hangul_base_code
02,10,는,E0 25,0x25E0,hangul_base_code
02,11,␠,10 12,0x1210,punct_space_base_code
02,12,한,70 E3,0xE370,hangul_base_code
02,13,、,20 12,0x1220,punct_space_base_code
02,14,“,80 22,0x2280,quote_basecode_clear_08h
02,15,베,90 3B,0x3B90,hangul_base_code
02,16,칸,D0 E1,0xE1D0,hangul_base_code
02,17,타,20 E2,0xE220,hangul_base_code
02,18,”,90 22,0x2290,quote_basecode_clear_08h
02,19,의,80 DE,0xDE80,hangul_base_code
02,END,␃,0F,0x000F,segment_end
03,0,“,80 22,0x2280,quote_basecode_clear_08h
03,1,힘,70 E5,0xE570,hangul_base_code
03,2,”,90 22,0x2290,quote_basecode_clear_08h
03,3,은,40 DE,0xDE40,hangul_base_code
03,4,␠,10 12,0x1210,punct_space_base_code
03,5,사,E0 3C,0x3CE0,hangul_base_code
03,6,라,F0 30,0x30F0,hangul_base_code
03,7,지,10 E0,0xE010,hangul_base_code
03,8,지,10 E0,0xE010,hangul_base_code
03,9,␠,10 12,0x1210,punct_space_base_code
03,10,않,00 5E,0x5E00,hangul_base_code
03,11,는,E0 25,0x25E0,hangul_base_code
03,12,다,C0 27,0x27C0,hangul_base_code
03,13,라,F0 30,0x30F0,hangul_base_code
03,14,고,80 20,0x2080,hangul_base_code
03,15,。,30 12,0x1230,punct_space_base_code
03,END,␃,0F,0x000F,segment_end
04,0,하,50 E3,0xE350,hangul_base_code
04,1,지,10 E0,0xE010,hangul_base_code
04,2,만,D0 34,0x34D0,hangul_base_code
04,3,␠,10 12,0x1210,punct_space_base_code
04,4,유,20 DE,0xDE20,hangul_base_code
04,5,코,10 E2,0xE210,hangul_base_code
04,6,는,E0 25,0x25E0,hangul_base_code
04,7,␠,10 12,0x1210,punct_space_base_code
04,8,생,40 3D,0x3D40,hangul_base_code
04,9,각,B0 17,0x17B0,hangul_base_code
04,10,했,C0 E3,0xE3C0,hangul_base_code
04,11,다,C0 27,0x27C0,hangul_base_code
04,12,。,30 12,0x1230,punct_space_base_code
04,END,␃,0F,0x000F,segment_end
05,0,그,50 21,0x2150,hangul_base_code
05,1,렇,90 31,0x3190,hangul_base_code
05,2,다,C0 27,0x27C0,hangul_base_code
05,3,면,70 35,0x3570,hangul_base_code
05,4,“,80 22,0x2280,quote_basecode_clear_08h
05,5,바,80 39,0x3980,hangul_base_code
05,6,리,70 34,0x3470,hangul_base_code
05,7,스,70 3F,0x3F70,hangul_base_code
05,8,”,90 22,0x2290,quote_basecode_clear_08h
05,9,의,80 DE,0xDE80,hangul_base_code
05,10,“,80 22,0x2280,quote_basecode_clear_08h
05,11,힘,70 E5,0xE570,hangul_base_code
05,12,”,90 22,0x2290,quote_basecode_clear_08h
05,13,또,C0 30,0x30C0,hangul_base_code
05,14,한,70 E3,0xE370,hangul_base_code
05,END,␃,0F,0x000F,segment_end
06,0,인,A0 DE,0xDEA0,hangul_base_code
06,1,간,C0 17,0x17C0,hangul_base_code
06,2,␠,10 12,0x1210,punct_space_base_code
06,3,세,A0 3D,0x3DA0,hangul_base_code
06,4,상,20 3D,0x3D20,hangul_base_code
06,5,이,90 DE,0xDE90,hangul_base_code
06,6,␠,10 12,0x1210,punct_space_base_code
06,7,존,F0 EF,0xEFF0,hangul_base_code
06,8,재,70 DF,0xDF70,hangul_base_code
06,9,하,50 E3,0xE350,hangul_base_code
06,10,는,E0 25,0x25E0,hangul_base_code
06,11,␠,10 12,0x1210,punct_space_base_code
06,12,한,70 E3,0xE370,hangul_base_code
06,13,、,20 12,0x1220,punct_space_base_code
06,END,␃,0F,0x000F,segment_end
07,0,결,40 20,0x2040,hangul_base_code
07,1,코,10 E2,0xE210,hangul_base_code
07,2,␠,10 12,0x1210,punct_space_base_code
07,3,사,E0 3C,0x3CE0,hangul_base_code
07,4,라,F0 30,0x30F0,hangul_base_code
07,5,지,10 E0,0xE010,hangul_base_code
07,6,지,10 E0,0xE010,hangul_base_code
07,7,␠,10 12,0x1210,punct_space_base_code
07,8,않,00 5E,0x5E00,hangul_base_code
07,9,을,50 DE,0xDE50,hangul_base_code
07,10,␠,10 12,0x1210,punct_space_base_code
