runtime_addr,row,kind,slot,char,row_addr,byte_index_in_row,decoded_old,decoded_new,doc_decoded,disk_offset,raw_old,raw_new,payload_start,decode_key,segment_index,row_fill,speech_applied,generalized
0x969F,9,문자,1,비,0x969F~0x96A0,0,B8,38,30,0x1A680,AC,2C,0x1A2A0,0x2B,0x01F,e2f0d9,False,True
0x96A0,9,문자,1,비,0x969F~0x96A0,1,62,3C,3C,0x1A67F,57,31,0x1A2A0,0x2B,0x020,e2f0d9,False,True
0x96A1,10,문자,2,가,0x96A1~0x96A2,0,C8,A8,A0,0x1A67E,BE,9E,0x1A2A0,0x2B,0x021,e2f0d9,False,True
0x96A2,10,문자,2,가,0x96A1~0x96A2,1,18,17,17,0x1A67D,0F,0E,0x1A2A0,0x2B,0x022,e2f0d9,False,True
0x96A3,11,문자,3,␠,0x96A3~0x96A4,0,48,18,18,0x1A67C,40,10,0x1A2A0,0x2B,0x023,e2f0d9,False,False
0x96A4,11,문자,3,␠,0x96A3~0x96A4,1,38,12,12,0x1A67B,31,0B,0x1A2A0,0x2B,0x024,e2f0d9,False,False
0x96A5,12,문자,4,그,0x96A5~0x96A6,0,38,58,50,0x1A67A,32,52,0x1A2A0,0x2B,0x025,e2f0d9,False,True
0x96A6,12,문자,4,그,0x96A5~0x96A6,1,39,21,21,0x1A679,34,1C,0x1A2A0,0x2B,0x026,e2f0d9,False,True
0x96A7,13,문자,5,쳤,0x96A7~0x96A8,0,78,58,50,0x1A678,74,54,0x1A2A0,0x2B,0x027,e2f0d9,False,True
0x96A8,13,문자,5,쳤,0x96A7~0x96A8,1,28,E1,E1,0x1A677,25,DE,0x1A2A0,0x2B,0x028,e2f0d9,False,True
0x96A9,14,문자,6,네,0x96A9~0x96AA,0,B8,98,90,0x1A676,B6,96,0x1A2A0,0x2B,0x029,e2f0d9,False,True
0x96AA,14,문자,6,네,0x96A9~0x96AA,1,38,25,25,0x1A675,37,24,0x1A2A0,0x2B,0x02A,e2f0d9,False,True
0x96B1,18,문자,10,␠,0x96B1~0x96B2,0,48,18,18,0x1A66E,4E,1E,0x1A2A0,0x2B,0x031,e2f0d9,False,False
0x96B2,18,문자,10,␠,0x96B1~0x96B2,1,18,12,12,0x1A66D,1F,19,0x1A2A0,0x2B,0x032,e2f0d9,False,False
0x96B3,19,문자,11,언,0x96B3~0x96B4,0,48,08,00,0x1A66C,50,10,0x1A2A0,0x2B,0x033,e2f0d9,False,True
0x96B4,19,문자,11,언,0x96B3~0x96B4,1,28,74,74,0x1A66B,31,7D,0x1A2A0,0x2B,0x034,e2f0d9,False,True
0x96B5,20,문자,12,제,0x96B5~0x96B6,0,E8,F8,F0,0x1A66A,F2,02,0x1A2A0,0x2B,0x035,e2f0d9,False,True
0x96B6,20,문자,12,제,0x96B5~0x96B6,1,28,E3,E3,0x1A669,33,EE,0x1A2A0,0x2B,0x036,e2f0d9,False,True
0x96B7,21,문자,13,␠,0x96B7~0x96B8,0,68,18,18,0x1A668,74,24,0x1A2A0,0x2B,0x037,e2f0d9,False,False
0x96B8,21,문자,13,␠,0x96B7~0x96B8,1,A9,12,12,0x1A667,B6,1F,0x1A2A0,0x2B,0x038,e2f0d9,False,False
0x96B9,22,문자,14,그,0x96B9~0x96BA,0,B8,58,50,0x1A666,C6,66,0x1A2A0,0x2B,0x039,e2f0d9,False,True
0x96BA,22,문자,14,그,0x96B9~0x96BA,1,28,21,21,0x1A665,37,30,0x1A2A0,0x2B,0x03A,e2f0d9,False,True
0x96BB,23,문자,15,친,0x96BB~0x96BC,0,60,B8,B0,0x1A664,70,C8,0x1A2A0,0x2B,0x03B,e2f0d9,False,True
0x96BC,23,문자,15,친,0x96BB~0x96BC,1,12,E1,E1,0x1A663,23,F2,0x1A2A0,0x2B,0x03C,e2f0d9,False,True
0x96BD,24,문자,16,␠,0x96BD~0x96BE,0,60,18,18,0x1A662,72,2A,0x1A2A0,0x2B,0x03D,e2f0d9,False,False
0x96BF,25,문자,17,거,0x96BF~0x96C0,0,60,98,90,0x1A660,74,AC,0x1A2A0,0x2B,0x03F,e2f0d9,False,True
0x96C0,25,문자,17,거,0x96BF~0x96C0,1,12,1D,1D,0x1A65F,27,32,0x1A2A0,0x2B,0x040,e2f0d9,False,True
0x96C1,26,문자,18,지,0x96C1~0x96C2,0,90,18,10,0x1A65E,A6,2E,0x1A2A0,0x2B,0x041,e2f0d9,False,True
0x96C2,26,문자,18,지,0x96C1~0x96C2,1,12,E0,E0,0x1A65D,29,F7,0x1A2A0,0x2B,0x042,e2f0d9,False,True
0x96C3,27,문자,19,？,0x96C3~0x96C4,0,19,90,90,0x1A65C,31,A8,0x1A2A0,0x2B,0x043,e2f0d9,False,False
0x96C4,27,문자,19,？,0x96C3~0x96C4,1,00,12,12,0x1A65B,19,2B,0x1A2A0,0x2B,0x044,e2f0d9,False,False
0x96C5,28,제어,,,0x96C5~0x96C7,0,71,19,19,0x1A65A,8B,33,0x1A2A0,0x2B,0x045,fce4d6,False,False
0x96C6,28,제어,,,0x96C5~0x96C7,1,14,00,00,0x1A659,2F,1B,0x1A2A0,0x2B,0x046,fce4d6,False,False
0x96C7,28,제어,,,0x96C5~0x96C7,2,00,71,71,0x1A658,1C,8D,0x1A2A0,0x2B,0x047,fce4d6,False,False
0x96C8,29,제어,,,0x96C8~0x96CD,0,01,14,14,0x1A657,1E,31,0x1A2A0,0x2B,0x048,fce4d6,False,False
0x96C9,29,제어,,,0x96C8~0x96CD,1,50,00,00,0x1A656,6E,1E,0x1A2A0,0x2B,0x049,fce4d6,False,False
0x96CA,29,제어,,,0x96C8~0x96CD,2,37,01,01,0x1A655,56,20,0x1A2A0,0x2B,0x04A,fce4d6,False,False
0x96CB,29,제어,,,0x96C8~0x96CD,3,80,50,50,0x1A654,A0,70,0x1A2A0,0x2B,0x04B,fce4d6,False,False
0x96CC,29,제어,,,0x96C8~0x96CD,4,15,37,37,0x1A653,36,58,0x1A2A0,0x2B,0x04C,fce4d6,False,False
0x96CD,29,제어,,,0x96C8~0x96CD,5,00,80,80,0x1A652,22,A2,0x1A2A0,0x2B,0x04D,fce4d6,False,False
0x96CE,30,제어,,,0x96CE~0x96CF,0,1A,15,15,0x1A651,3D,38,0x1A2A0,0x2B,0x04E,fce4d6,False,False
0x96D0,31,제어,,,0x96D0~0x96D2,0,03,1A,1A,0x1A64F,28,3F,0x1A2A0,0x2B,0x050,fce4d6,False,False
