runtime_addr,row,kind,slot,char,row_addr,byte_index_in_row,decoded_old,decoded_new,disk_offset,raw_old,raw_new,payload_start,decode_key,segment_index,fill
0x96A6,12,문자,4,누,0x96A6~0x96A7,0,48,C8,0x1BED9,45,C5,0x1BB00,0x29,0x026,e2f0d9
0x96A7,12,문자,4,누,0x96A6~0x96A7,1,18,25,0x1BED8,16,23,0x1BB00,0x29,0x027,e2f0d9
0x96A8,13,문자,5,가,0x96A8~0x96A9,0,B8,A8,0x1BED7,B7,A7,0x1BB00,0x29,0x028,e2f0d9
0x96A9,13,문자,5,가,0x96A8~0x96A9,1,38,17,0x1BED6,38,17,0x1BB00,0x29,0x029,e2f0d9
0x96AA,14,문자,6,␠,0x96AA~0x96AB,0,60,18,0x1BED5,61,19,0x1BB00,0x29,0x02A,e2f0d9
0x96AC,15,문자,7,있,0x96AC~0x96AD,0,60,F8,0x1BED3,63,FB,0x1BB00,0x29,0x02C,e2f0d9
0x96AD,15,문자,7,있,0x96AC~0x96AD,1,12,DE,0x1BED2,16,E2,0x1BB00,0x29,0x02D,e2f0d9
0x96AE,16,문자,8,어,0x96AE~0x96AF,0,12,08,0x1BED1,17,0D,0x1BB00,0x29,0x02E,e2f0d9
0x96AF,16,문자,8,어,0x96AE~0x96AF,1,00,70,0x1BED0,06,76,0x1BB00,0x29,0x02F,e2f0d9
0x96B0,17,문자,9,・,0x96B0~0x96B1,0,23,60,0x1BECF,2A,67,0x1BB00,0x29,0x030,e2f0d9
0x96B1,17,문자,9,・,0x96B0~0x96B1,1,21,12,0x1BECE,29,1A,0x1BB00,0x29,0x031,e2f0d9
0x96B2,18,문자,10,・,0x96B2~0x96B3,0,00,60,0x1BECD,09,69,0x1BB00,0x29,0x032,e2f0d9
0x96B3,18,문자,10,・,0x96B2~0x96B3,1,60,12,0x1BECC,6A,1C,0x1BB00,0x29,0x033,e2f0d9
0x96B5,19,제어,,,0x96B4~0x96B8,1,12,00,0x1BECA,1E,0C,0x1BB00,0x29,0x035,fce4d6
0x96B6,19,제어,,,0x96B4~0x96B8,2,00,23,0x1BEC9,0D,30,0x1BB00,0x29,0x036,fce4d6
0x96B7,19,제어,,,0x96B4~0x96B8,3,23,21,0x1BEC8,31,2F,0x1BB00,0x29,0x037,fce4d6
0x96B8,19,제어,,,0x96B4~0x96B8,4,21,00,0x1BEC7,30,0F,0x1BB00,0x29,0x038,fce4d6
0x96B9,20,문자,11,・,0x96B9~0x96BA,0,00,60,0x1BEC6,10,70,0x1BB00,0x29,0x039,e2f0d9
0x96BA,20,문자,11,・,0x96B9~0x96BA,1,18,12,0x1BEC5,29,23,0x1BB00,0x29,0x03A,e2f0d9
0x96BB,21,제어,,,0x96BB~0x96BF,0,EC,12,0x1BEC4,FE,24,0x1BB00,0x29,0x03B,fce4d6
0x96BC,21,제어,,,0x96BB~0x96BF,1,F8,00,0x1BEC3,0B,13,0x1BB00,0x29,0x03C,fce4d6
0x96BD,21,제어,,,0x96BB~0x96BF,2,18,23,0x1BEC2,2C,37,0x1BB00,0x29,0x03D,fce4d6
0x96BE,21,제어,,,0x96BB~0x96BF,3,B8,21,0x1BEC1,CD,36,0x1BB00,0x29,0x03E,fce4d6
