작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,메모
1,제어,0x9680,0x968B,,,14 00 01 00 11 22 33 44 55 66 77 80,12,fce4d6,한글 재배치 기준 HL=0x9680→0x968C. 제어토큰 유지.
2,제어,0x968C,0x968E,,,19 00 79,3,fce4d6,한글 재배치 기준 HL=0x968C→0x968F. 제어토큰 유지.
3,제어,0x968F,0x9690,,,15 00,2,fce4d6,한글 재배치 기준 HL=0x968F→0x9691. 제어토큰 유지.
4,제어,0x9691,0x9692,,,17 00,2,fce4d6,한글 재배치 기준 HL=0x9691→0x9693. 제어토큰 유지.
5,제어,0x9693,0x9695,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=0x9693→0x9696. 제어토큰 유지.
6,제어,0x9696,0x9697,,,16 00,2,fce4d6,한글 재배치 기준 HL=0x9696→0x9698. 제어토큰 유지.
7,문자,0x9698,0x9699,1,레,A0 31,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
8,문자,0x969A,0x969B,2,이,90 DE,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
9,문자,0x969C,0x969D,3,코,10 E2,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
10,문자,0x969E,0x969F,4,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
11,문자,0x96A0,0x96A1,5,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
12,제어,0x96A2,0x96A3,,,10 11,2,fce4d6,한글 재배치 기준 HL=0x96A2→0x96A4. 제어토큰 유지.
13,제어,0x96A4,0x96A8,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x96A4→0x96A9. 제어토큰 유지.
14,문자,0x96A9,0x96AA,6,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
15,문자,0x96AB,0x96AC,7,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
16,문자,0x96AD,0x96AE,8,어,00 70,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
17,문자,0x96AF,0x96B0,9,떻,B0 30,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
18,문자,0x96B1,0x96B2,10,게,00 20,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
19,문자,0x96B3,0x96B4,11,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
20,문자,0x96B5,0x96B6,12,이,90 DE,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
21,문자,0x96B7,0x96B8,13,곳,90 20,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
22,문자,0x96B9,0x96BA,14,에,40 9F,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
23,문자,0x96BB,0x96BC,15,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
24,문자,0x96BD,0x96BE,16,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
25,문자,0x96BF,0x96C0,17,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
26,제어,0x96C1,0x96C2,,,10 11,2,fce4d6,한글 재배치 기준 HL=0x96C1→0x96C3. 제어토큰 유지.
27,제어,0x96C3,0x96C7,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x96C3→0x96C8. 제어토큰 유지.
28,문자,0x96C8,0x96C9,18,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
29,문자,0x96CA,0x96CB,19,왜,F0 C5,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
