작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,빨강색보존,메모
1,제어,0x9680,0x9682,,,19 00 7D,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9680→0x9683. 제어토큰 기존 바이트 유지.
2,제어,0x9683,0x9684,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9683→0x9685. 제어토큰 기존 바이트 유지.
3,제어,0x9685,0x9686,,,17 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9685→0x9687. 제어토큰 기존 바이트 유지.
4,제어,0x9687,0x9692,,,14 00 00 00 11 22 33 47 55 66 77 80,12,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9687→0x9693. 제어토큰 기존 바이트 유지.
5,제어,0x9693,0x9695,,,1A 00 04,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9693→0x9696. 제어토큰 기존 바이트 유지.
6,제어,0x9696,0x9697,,,16 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9696→0x9698. 제어토큰 기존 바이트 유지.
7,문자,0x9698,0x9699,1,도,20 2E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
8,문자,0x969A,0x969B,2,움,F0 D5,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
9,문자,0x969C,0x969D,3,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
10,문자,0x969E,0x969F,4,따,40 30,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
11,문자,0x96A0,0x96A1,5,윈,10 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
12,문자,0x96A2,0x96A3,6,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
13,문자,0x96A4,0x96A5,7,받,A0 39,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
14,문자,0x96A6,0x96A7,8,고,80 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
15,문자,0x96A8,0x96A9,9,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
16,문자,0x96AA,0x96AB,10,싶,00 44,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
17,문자,0x96AC,0x96AD,11,지,10 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
18,문자,0x96AE,0x96AF,12,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
19,문자,0x96B0,0x96B1,13,않,00 5E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
20,문자,0x96B2,0x96B3,14,아,00 56,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
21,문자,0x96B4,0x96B5,15,！,A0 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
22,제어,0x96B6,0x96B7,,,10 11,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96B6→0x96B8. 제어토큰 기존 바이트 유지.
23,제어,0x96B8,0x96BB,,,12 00 23 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96B8→0x96BC. 제어토큰 기존 바이트 유지.
24,제어,0x96BC,0x96BD,,,10 11,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96BC→0x96BE. 제어토큰 기존 바이트 유지.
25,제어,0x96BE,0x96C1,,,12 00 21 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96BE→0x96C2. 제어토큰 기존 바이트 유지.
26,제어,0x96C2,0x96C3,,,10 11,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96C2→0x96C4. 제어토큰 기존 바이트 유지.
27,문자,0x96C4,0x96C5,16,우,F0 CD,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
28,문자,0x96C6,0x96C7,17,린,80 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
29,문자,0x96C8,0x96C9,18,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
30,문자,0x96CA,0x96CB,19,방,D0 39,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
31,문자,0x96CC,0x96CD,20,금,80 21,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
32,문자,0x96CE,0x96CF,21,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
33,문자,0x96D0,0x96D1,22,전,B0 DF,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
34,문자,0x96D2,0x96D3,23,까,F0 21,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
35,문자,0x96D4,0x96D5,24,지,10 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
36,문자,0x96D6,0x96D7,25,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
37,문자,0x96D8,0x96D9,26,싸,00 46,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
38,문자,0x96DA,0x96DB,27,우,F0 CD,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
39,문자,0x96DC,0x96DD,28,던,D0 2D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
40,문자,0x96DE,0x96DF,29,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
41,문자,0x96E0,0x96E1,30,적,A0 DF,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
42,문자,0x96E2,0x96E3,31,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
43,문자,0x96E4,0x96E5,32,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
44,문자,0x96E6,0x96E7,33,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
45,문자,0x96E8,0x96E9,34,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
46,문자,0x96EA,0x96EB,35,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
47,제어,0x96EC,0x96F0,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96EC→0x96F1. 제어토큰 기존 바이트 유지.
