index,unicode,slot,token,rom_offset,source,provenance,review
1,U+AC00,378,A017,0x02F40,glyphs/glyph_0001_U+AC00_slot0378_tokA017_off02F40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
2,U+AC01,379,B017,0x02F60,glyphs/glyph_0002_U+AC01_slot0379_tokB017_off02F60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
3,U+AC04,380,C017,0x02F80,glyphs/glyph_0003_U+AC04_slot0380_tokC017_off02F80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
4,U+AC08,381,D017,0x02FA0,glyphs/glyph_0004_U+AC08_slot0381_tokD017_off02FA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
5,U+AC10,382,E017,0x02FC0,glyphs/glyph_0005_U+AC10_slot0382_tokE017_off02FC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
6,U+AC11,383,F017,0x02FE0,glyphs/glyph_0006_U+AC11_slot0383_tokF017_off02FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
7,U+AC15,384,0018,0x03000,glyphs/glyph_0007_U+AC15_slot0384_tok0018_off03000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
8,U+AC16,416,001A,0x03400,glyphs/glyph_0008_U+AC16_slot0416_tok001A_off03400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
9,U+AC19,448,001C,0x03800,glyphs/glyph_0009_U+AC19_slot0448_tok001C_off03800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
10,U+AC70,473,901D,0x03B20,glyphs/glyph_0010_U+AC70_slot0473_tok901D_off03B20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
11,U+AC71,474,A01D,0x03B40,glyphs/glyph_0011_U+AC71_slot0474_tokA01D_off03B40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
12,U+AC74,475,B01D,0x03B60,glyphs/glyph_0012_U+AC74_slot0475_tokB01D_off03B60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
13,U+AC78,476,C01D,0x03B80,glyphs/glyph_0013_U+AC78_slot0476_tokC01D_off03B80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
14,U+AC80,477,D01D,0x03BA0,glyphs/glyph_0014_U+AC80_slot0477_tokD01D_off03BA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
15,U+AC81,478,E01D,0x03BC0,glyphs/glyph_0015_U+AC81_slot0478_tokE01D_off03BC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
16,U+AC83,479,F01D,0x03BE0,glyphs/glyph_0016_U+AC83_slot0479_tokF01D_off03BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
