ram_addr,ram_offset,d88_c,d88_h,d88_r,sector_raw_base,raw_index,raw_file_offset,DE,Ccorr,stored_byte,current_raw_byte,reverse_roundtrip
0x2BFF,0x03FF,09,40,1,0x00B2F0,0x000,0x00B2F0,0x0400,37,09,D6,OK
0x2BFE,0x03FE,09,40,1,0x00B2F0,0x001,0x00B2F1,0x03FF,37,FF,CA,OK
0x2BFD,0x03FD,09,40,1,0x00B2F0,0x002,0x00B2F2,0x03FE,37,0F,D9,OK
0x2BFC,0x03FC,09,40,1,0x00B2F0,0x003,0x00B2F3,0x03FD,37,A1,6A,OK
0x2BFB,0x03FB,09,40,1,0x00B2F0,0x004,0x00B2F4,0x03FC,37,03,CB,OK
0x2BFA,0x03FA,09,40,1,0x00B2F0,0x005,0x00B2F5,0x03FB,37,8B,52,OK
0x2BF9,0x03F9,09,40,1,0x00B2F0,0x006,0x00B2F6,0x03FA,37,03,C9,OK
0x2BF8,0x03F8,09,40,1,0x00B2F0,0x007,0x00B2F7,0x03F9,37,C0,85,OK
0x2BF7,0x03F7,09,40,1,0x00B2F0,0x008,0x00B2F8,0x03F8,37,FF,C3,OK
0x2BF6,0x03F6,09,40,1,0x00B2F0,0x009,0x00B2F9,0x03F7,37,06,C9,OK
0x2BF5,0x03F5,09,40,1,0x00B2F0,0x00A,0x00B2FA,0x03F6,37,01,C3,OK
0x2BF4,0x03F4,09,40,1,0x00B2F0,0x00B,0x00B2FB,0x03F5,37,89,4A,OK
0x2BF3,0x03F3,09,40,1,0x00B2F0,0x00C,0x00B2FC,0x03F4,37,03,C3,OK
0x2BF2,0x03F2,09,40,1,0x00B2F0,0x00D,0x00B2FD,0x03F3,37,C0,7F,OK
0x2BF1,0x03F1,09,40,1,0x00B2F0,0x00E,0x00B2FE,0x03F2,37,0C,CA,OK
0x2BF0,0x03F0,09,40,1,0x00B2F0,0x00F,0x00B2FF,0x03F1,37,01,BE,OK
0x2BEF,0x03EF,09,40,1,0x00B2F0,0x010,0x00B300,0x03F0,37,00,BC,OK
0x2BEE,0x03EE,09,40,1,0x00B2F0,0x011,0x00B301,0x03EF,37,05,C0,OK
0x2BED,0x03ED,09,40,1,0x00B2F0,0x012,0x00B302,0x03EE,37,FE,B8,OK
0x2BEC,0x03EC,09,40,1,0x00B2F0,0x013,0x00B303,0x03ED,37,09,C2,OK
0x2BEB,0x03EB,09,40,1,0x00B2F0,0x014,0x00B304,0x03EC,37,3F,F7,OK
0x2BEA,0x03EA,09,40,1,0x00B2F0,0x015,0x00B305,0x03EB,37,00,B7,OK
