ram_addr,new_stored,raw_file_offset,old_raw,new_raw,d88_c,d88_h,d88_r,raw_index
0x2BFF,,0x0B2F0,D6,CC,09,40,1,0x000
0x2BFE,01,0x00B2F1,CA,0A,09,40,1,0x001
0x2BFD,00,0x00B2F2,D9,D5,09,40,1,0x002
0x2BFC,07,0x00B2F3,6A,89,09,40,1,0x003
0x2BFB,0C,0x00B2F4,CB,D1,09,40,1,0x004
0x2BFA,FF,0x00B2F5,52,CA,09,40,1,0x005
0x2BF9,3F,0x00B2F6,C9,CA,09,40,1,0x006
0x2BF8,87,0x00B2F7,85,D0,09,40,1,0x007
0x2BF7,03,0x00B2F8,C3,C2,09,40,1,0x008
0x2BF6,C0,0x00B2F9,C9,CF,09,40,1,0x009
0x2BF5,09,0x00B2FA,C3,41,09,40,1,0x00A
0x2BF4,0B,0x00B2FB,4A,48,09,40,1,0x00B
0x2BF2,FF,0x00B2FD,7F,AF,09,40,1,0x00D
0x2BF1,01,0x00B2FE,CA,BD,09,40,1,0x00E
0x2BF0,93,0x00B2FF,BE,C2,09,40,1,0x00F
0x2BEF,03,0x00B300,BC,C7,09,40,1,0x010
0x2BEE,92,0x00B301,C0,B3,09,40,1,0x011
0x2BED,03,0x00B302,B8,B9,09,40,1,0x012
0x2BEC,FE,0x00B303,C2,C8,09,40,1,0x013
0x2BEB,FF,0x00B304,F7,4C,09,40,1,0x014
0x2BEA,07,0x00B305,B7,BA,09,40,1,0x015
0x2BE9,04,0x00B306,BE,47,09,40,1,0x016
0x2BE8,0C,0x00B307,B1,B8,09,40,1,0x017
0x2BE7,C0,0x00B308,B3,94,09,40,1,0x018
0x2BE6,09,0x00B309,B3,B2,09,40,1,0x019
0x2BE5,01,0x00B30A,A2,31,09,40,1,0x01A
0x2BE4,93,0x00B30B,BA,BD,09,40,1,0x01B
0x2BE3,03,0x00B30C,B1,A8,09,40,1,0x01C
0x2BE2,FC,0x00B30D,8F,AE,09,40,1,0x01D
